model,folds,rmse_mean,rmse_sd,mae_mean,spearman_mean,gamma_mean
baseline,5,0.1400484766518207,0.005007506975186319,0.11499390400497989,0.8893494694345595,0.0
exp_D,5,0.09313529363207748,0.013373072156287361,0.0726814920815376,0.9599970643391696,0.5369632093686934
exp_N,5,0.0701803151287404,0.007057284361872215,0.05729607539604727,0.9760761168655906,0.5425082468287321
exp_both,5,0.05950595289711809,0.0062501144586995525,0.0474174983975014,0.9796760695444906,0.3650107277642829
linear_D,5,0.0941019504194895,0.013437833862447098,0.07324547437702897,0.9595479520479522,0.6718780610676356
power_D,5,0.09626366240225628,0.011528216050130378,0.07656727831120025,0.9604268538479065,0.22143701773622074
exp,5,0.09313529363207748,0.013373072156287361,0.0726814920815376,0.9599970643391696,0.5369632093686934
power,5,0.09626366240225628,0.011528216050130378,0.07656727831120025,0.9604268538479065,0.22143701773622074
linear,5,0.0941019504194895,0.013437833862447098,0.07324547437702897,0.9595479520479522,0.6718780610676356
