model,delta,gamma,rss,success,kind,placement,gamma_low,gamma_high
baseline,0.17052805507801366,0.0,5.656971797178014,True,exp,D,,
exp_D,0.04873320559292182,0.5368836069542149,2.5125101503317904,True,exp,D,,
exp_N,0.049929255684201104,0.542085082545657,1.3955873160225538,True,exp,N,,
exp_both,0.01663730244432783,0.3649501815677944,1.0154190506290832,True,exp,both,0.3476026151239826,0.3867357112088623
power_D,0.07837893078644435,0.22139965551733157,2.6849685714693603,True,power,D,,
linear_D,0.04451039068196925,0.6717140460789959,2.5614935972999433,True,linear,D,,
exp,0.04873320559292182,0.5368836069542149,2.5125101503317904,True,exp,D,,
power,0.07837893078644435,0.22139965551733157,2.6849685714693603,True,power,D,,
linear,0.04451039068196925,0.6717140460789959,2.5614935972999433,True,linear,D,,
