source,model,C_FLOPs_1e21,Q_score,N_star_B,D_star_B,predicted_loss
model_frontier,exp_both,0.017875,0.1,0.29782239632673746,10.003165320710997,3.3360935589286096
model_frontier,exp_both,0.017875,0.3,0.29782239632673746,10.003165320710997,3.2202109357610484
model_frontier,exp_both,0.017875,0.5,0.29782239632673746,10.003165320710997,3.112485279739606
model_frontier,exp_both,0.017875,0.7,0.29782239632673746,10.003165320710997,3.012342422699945
model_frontier,exp_both,0.017875,0.9,0.29782239632673746,10.003165320710997,2.9192486121218035
model_frontier,exp_both,0.017875,1.0,0.29782239632673746,10.003165320710997,2.8751886484752327
model_frontier,exp_both,0.021151923315506947,0.1,0.32006105538324253,11.014525176651862,3.294097270596766
model_frontier,exp_both,0.021151923315506947,0.3,0.32006105538324253,11.014525176651862,3.181170762287655
model_frontier,exp_both,0.021151923315506947,0.5,0.32006105538324253,11.014525176651862,3.0761931404726943
model_frontier,exp_both,0.021151923315506947,0.7,0.32006105538324253,11.014525176651862,2.9786048837654273
model_frontier,exp_both,0.021151923315506947,0.9,0.32006105538324253,11.014525176651862,2.8878858554381317
model_frontier,exp_both,0.021151923315506947,1.0,0.32006105538324253,11.014525176651862,2.8449498421271517
model_frontier,exp_both,0.025029586570354485,0.1,0.34396029457989563,12.128137542214956,3.2531746563858457
model_frontier,exp_both,0.025029586570354485,0.3,0.34396029457989563,12.128137542214956,3.143128687112938
model_frontier,exp_both,0.025029586570354485,0.5,0.34396029457989563,12.128137542214956,3.0408288434573625
model_frontier,exp_both,0.025029586570354485,0.7,0.34396029457989563,12.128137542214956,2.945729876352062
model_frontier,exp_both,0.025029586570354485,0.9,0.34396029457989563,12.128137542214956,2.85732491676147
model_frontier,exp_both,0.025029586570354485,1.0,0.34396029457989563,12.128137542214956,2.8154841189517317
model_frontier,exp_both,0.029618120042236684,0.1,0.3734665562978535,13.21765833413971,3.2132952913068413
model_frontier,exp_both,0.029618120042236684,0.3,0.3734665562978535,13.21765833413971,3.1060564268600572
model_frontier,exp_both,0.029618120042236684,0.5,0.3734665562978535,13.21765833413971,3.0063660961810554
model_frontier,exp_both,0.029618120042236684,0.7,0.3734665562978535,13.21765833413971,2.913692958674826
model_frontier,exp_both,0.029618120042236684,0.9,0.3734665562978535,13.21765833413971,2.8275430747617865
model_frontier,exp_both,0.029618120042236684,1.0,0.3734665562978535,13.21765833413971,2.78676957188558
model_frontier,exp_both,0.035047843573866845,0.1,0.4013536310006011,14.554016236874139,3.1744324795200307
model_frontier,exp_both,0.035047843573866845,0.3,0.4013536310006011,14.554016236874139,3.0699291648069837
model_frontier,exp_both,0.035047843573866845,0.5,0.4013536310006011,14.554016236874139,2.972781828768516
model_frontier,exp_both,0.035047843573866845,0.7,0.4013536310006011,14.554016236874139,2.882472684744851
model_frontier,exp_both,0.035047843573866845,0.9,0.4013536310006011,14.554016236874139,2.798520393031389
model_frontier,exp_both,0.035047843573866845,1.0,0.4013536310006011,14.554016236874139,2.758786978984097
model_frontier,exp_both,0.04147296781249312,0.1,0.4313230579845965,16.025485246209662,3.1365632077454304
model_frontier,exp_both,0.04147296781249312,0.3,0.4313230579845965,16.025485246209662,3.0347255075763884
model_frontier,exp_both,0.04147296781249312,0.5,0.4313230579845965,16.025485246209662,2.9400561537202705
model_frontier,exp_both,0.04147296781249312,0.7,0.4313230579845965,16.025485246209662,2.852050566941915
model_frontier,exp_both,0.04147296781249312,0.9,0.4313230579845965,16.025485246209662,2.770239685291937
model_frontier,exp_both,0.04147296781249312,1.0,0.4313230579845965,16.025485246209662,2.7315197698753657
model_frontier,exp_both,0.049075973976858325,0.1,0.46832363983788144,17.465120912910724,3.0996570032809094
model_frontier,exp_both,0.049075973976858325,0.3,0.46832363983788144,17.465120912910724,3.000417127436829
model_frontier,exp_both,0.049075973976858325,0.5,0.46832363983788144,17.465120912910724,2.908162737291278
model_frontier,exp_both,0.049075973976858325,0.7,0.46832363983788144,17.465120912910724,2.8224021251508598
model_frontier,exp_both,0.049075973976858325,0.9,0.46832363983788144,17.465120912910724,2.742678194581317
model_frontier,exp_both,0.049075973976858325,1.0,0.46832363983788144,17.465120912910724,2.704946003140863
model_frontier,exp_both,0.058072796542227835,0.1,0.5032937760093401,19.230914199751638,3.063693859849864
model_frontier,exp_both,0.058072796542227835,0.3,0.5032937760093401,19.230914199751638,2.9669854263516653
model_frontier,exp_both,0.058072796542227835,0.5,0.5032937760093401,19.230914199751638,2.8770842905589804
model_frontier,exp_both,0.058072796542227835,0.7,0.5032937760093401,19.230914199751638,2.7935112874147885
model_frontier,exp_both,0.058072796542227835,0.9,0.5032937760093401,19.230914199751638,2.715820980246196
model_frontier,exp_both,0.058072796542227835,1.0,0.5032937760093401,19.230914199751638,2.6790512735569862
model_frontier,exp_both,0.06871895603794348,0.1,0.5464682880386679,20.958506816129876,3.0286483658067507
model_frontier,exp_both,0.06871895603794348,0.3,0.5464682880386679,20.958506816129876,2.9344067813987373
model_frontier,exp_both,0.06871895603794348,0.5,0.5464682880386679,20.958506816129876,2.846798853416526
model_frontier,exp_both,0.06871895603794348,0.7,0.5464682880386679,20.958506816129876,2.765357639396746
model_frontier,exp_both,0.06871895603794348,0.9,0.5464682880386679,20.958506816129876,2.6896490649129112
model_frontier,exp_both,0.06871895603794348,1.0,0.5464682880386679,20.958506816129876,2.6538172838441625
model_frontier,exp_both,0.08131681613629509,0.1,0.587273553501482,23.077495331736085,2.9944953896982947
model_frontier,exp_both,0.08131681613629509,0.3,0.587273553501482,23.077495331736085,2.902657830125446
