Q_A,b_Q,Q_B,data_term_multiplier
0.4,0.5,0.7,1.1747614222501932
0.4,1.0,0.4,1.3800643992072965
0.4,1.5,0.10000000000000009,1.6212464164096219
0.5,0.5,0.75,1.1436454250058108
0.5,1.0,0.5,1.3079248581367215
0.5,1.5,0.25,1.4958022802594355
0.6,0.5,0.8,1.1133535996027695
0.6,1.0,0.6,1.239556237748444
0.6,1.5,0.3999999999999999,1.3800643992072965
0.7,0.5,0.85,1.0838641161373472
0.7,1.0,0.7,1.1747614222501932
0.7,1.5,0.5499999999999999,1.2732817505994587
0.7999999999999999,0.5,0.8999999999999999,1.0551557229161814
0.7999999999999999,1.0,0.7999999999999999,1.1133535996027695
0.7999999999999999,1.5,0.7,1.1747614222501932
0.8999999999999999,0.5,0.95,1.0272077311411658
0.8999999999999999,1.0,0.8999999999999999,1.0551557229161814
0.8999999999999999,1.5,0.8499999999999999,1.0838641161373475
