dataset,model,gamma_B6,gamma_refit_B7,gamma_relative_change,n,rmse,mae,bias_pred_minus_actual,centered_rmse,offset_actual_minus_pred,offset_calibrated_rmse,spearman
B7_new_Q_D_le_300B,exp_both,0.3649501815677944,0.3679089056686756,0.00810719996951582,72,0.04459191701678569,0.03617889747849409,-0.004118516954087116,0.04440131621169353,0.004118516954087116,0.04440131621169352,0.9894284956626853
B7_new_Q_D_600B,exp_both,0.3649501815677944,0.3679089056686756,0.00810719996951582,18,0.0510570780342525,0.043547894089588,-0.027851799944693098,0.04279138297877907,0.027851799944693098,0.04279138297877907,0.9979360165118679
