model,N_params_B,D_tokens_B,Q_score,parameter_elasticity,data_elasticity,quality_semielasticity,quality_log_elasticity
exp_both,0.07,50.0,0.5,0.2305418482935319,0.09008970049544499,0.3649501815677944,0.1824750907838972
exp_both,0.07470743292468979,50.0,0.5,0.2288933871857384,0.09144675928831604,0.3649501815677944,0.1824750907838972
exp_both,0.0797314362028146,50.0,0.5,0.22723223821305114,0.09281426308261016,0.3649501815677944,0.1824750907838972
exp_both,0.08509329888729937,50.0,0.5,0.2255586656250519,0.09419199434076059,0.3649501815677944,0.1824750907838972
exp_both,0.09081574169947851,50.0,0.5,0.22387294376542283,0.09557972721545764,0.3649501815677944,0.1824750907838972
exp_both,0.0969230133074249,50.0,0.5,0.2221753569655794,0.09697722763721332,0.3649501815677944,0.1824750907838972
exp_both,0.1034409930789037,50.0,0.5,0.22046619942214574,0.09838425341522712,0.3649501815677944,0.1824750907838972
exp_both,0.11039730074436423,50.0,0.5,0.2187457750581904,0.09980055435162001,0.3649501815677944,0.1824750907838972
exp_both,0.1178214134346628,50.0,0.5,0.2170143973681845,0.10122587236906977,0.3649501815677944,0.1824750907838972
exp_both,0.1257447905894602,50.0,0.5,0.21527238924668388,0.10265994165184433,0.3649501815677944,0.1824750907838972
exp_both,0.13420100726558945,50.0,0.5,0.21352008280078363,0.1041024888001944,0.3649501815677944,0.1824750907838972
exp_both,0.14322589641028324,50.0,0.5,0.21175781914643735,0.10555323299802916,0.3649501815677944,0.1824750907838972
exp_both,0.15285770070214,50.0,0.5,0.20998594818877847,0.10701188619376172,0.3649501815677944,0.1824750907838972
exp_both,0.16313723460324897,50.0,0.5,0.20820482838662885,0.10847815329417224,0.3649501815677944,0.1824750907838972
exp_both,0.1741080573091658,50.0,0.5,0.20641482650142406,0.10995173237109954,0.3649501815677944,0.1824750907838972
exp_both,0.18581665732960778,50.0,0.5,0.20461631733083369,0.11143231488073228,0.3649501815677944,0.1824750907838972
exp_both,0.19831264948202484,50.0,0.5,0.20280968342739977,0.1129195858952336,0.3649501815677944,0.1824750907838972
exp_both,0.21164898513279834,50.0,0.5,0.20099531480256358,0.11441322434639427,0.3649501815677944,0.1824750907838972
exp_both,0.22588217657695991,50.0,0.5,0.1991736086164971,0.11591290328097231,0.3649501815677944,0.1824750907838972
exp_both,0.24107253650723096,50.0,0.5,0.19734496885419955,0.11741829012733904,0.3649501815677944,0.1824750907838972
exp_both,0.25728443358712544,50.0,0.5,0.19550980598836468,0.11892904697301625,0.3649501815677944,0.1824750907838972
exp_both,0.27458656521109964,50.0,0.5,0.19366853662956668,0.12044483085265259,0.3649501815677944,0.1824750907838972
