stratum,replicate,scale_points,conditional_time_points,model_change_points,observed_change_points
strict_posttrained,0,0.19201316654295297,1.9395871594034837,2.1316003259464367,4.997262896525463
strict_posttrained,1,-3.7569890101554115,3.3760365836760293,-0.3809524264793822,1.5972386920666573
strict_posttrained,2,-9.532579286682635,8.425160083959964,-1.1074192027226708,-2.532082859714368
strict_posttrained,3,-9.036957881233574,2.7152326220997605,-6.321725259133814,-6.89153123400715
strict_posttrained,4,-4.557980316913458,4.4627620709818245,-0.0952182459316333,3.040958455365402
strict_posttrained,5,-1.8702838507764383,9.430472277089471,7.560188426313033,9.538429005954285
strict_posttrained,6,-3.842943370041027,3.7753111282349288,-0.06763224180609839,3.2193167143121997
strict_posttrained,7,-1.7775380604902669,3.9941679144291147,2.216629853938848,4.051112432686601
strict_posttrained,8,0.045991780318612285,4.8373072410731055,4.883299021391718,6.922820514518708
strict_posttrained,9,-10.806351006873431,5.498873621310374,-5.3074773855630575,-3.8573532077688135
strict_posttrained,10,-4.767547266984369,3.8688701854998833,-0.898677081484486,1.9426524636794156
strict_posttrained,11,-5.794198693072467,6.940005090784457,1.1458063977119899,2.8535901248441924
strict_posttrained,12,-2.473893765678439,13.37449143149664,10.9005976658182,11.034100399492587
strict_posttrained,13,-4.3462901144235975,-1.250961875094644,-5.5972519895182415,-0.5732174988815935
strict_posttrained,14,-7.045695690683626,4.082086067413886,-2.9636096232697398,-1.4102407462782516
strict_posttrained,15,-2.33111316004128,3.2708183351511018,0.9397051751098218,2.059397082643315
strict_posttrained,16,-4.488246921975275,4.809552353344468,0.32130543136919343,2.1906510360422935
strict_posttrained,17,-1.4511092248870892,7.037470053135889,5.5863608282488,6.058895426930128
strict_posttrained,18,-7.080486831814823,4.720996959916625,-2.359489871898198,-0.7146835320456226
strict_posttrained,19,1.829200147218021,3.5414106722139316,5.370610819431953,7.564369184702553
strict_posttrained,20,0.1470424761627065,6.138796405747023,6.285838881909729,7.693887376564639
strict_posttrained,21,-2.1688425718463176,2.128093574152425,-0.04074899769389262,3.6537554127592493
strict_posttrained,22,-6.857991060680742,7.842357565952668,0.9843665052719253,1.8018607390720547
strict_posttrained,23,-5.829283436377403,5.954482906748191,0.12519947037078794,0.42101065364863643
strict_posttrained,24,-7.023744317636478,7.320207359057729,0.29646304142125146,0.9918946154105619
strict_posttrained,25,-11.055188232662573,11.651680947805211,0.596492715142638,-0.39218992215441517
strict_posttrained,26,-9.321897679484797,5.196547680695007,-4.12534999878979,-1.8565812850092485
strict_posttrained,27,-3.6863624269747177,2.6660976393176696,-1.020264787657048,0.5258740624557028
strict_posttrained,28,-18.023047622065164,16.030216971645174,-1.9928306504199895,-2.5931471544657327
strict_posttrained,29,-16.458677095322564,13.564497238134527,-2.894179857188039,-3.458706104745275
strict_posttrained,30,1.3811174119399325,3.6639707752321584,5.045088187172091,6.313331908983518
strict_posttrained,31,-0.5546252691750073,2.4017136821225886,1.8470884129475813,2.809207701728514
strict_posttrained,32,-1.1748785540811237,8.868651553357923,7.693772999276799,8.784240536767609
strict_posttrained,33,-1.7019447794133509,9.73005973354231,8.02811495412896,9.571771568808092
strict_posttrained,34,-3.7371375420169723,2.9200648683221555,-0.8170726736948168,1.0536305445039744
strict_posttrained,35,-14.371372769082724,14.00243974976926,-0.368933019313463,-1.5549004578591337
strict_posttrained,36,0.7246222211237985,4.122732588804752,4.84735480992855,5.798919122242587
strict_posttrained,37,0.6967307282305146,3.6066520254439443,4.303382753674459,6.299692662619631
strict_posttrained,38,-0.6770000688936069,3.709340854901514,3.0323407860079072,5.60720639178734
