variant,tau,train_n,train_families,holdout_n,holdout_families,alpha_train_cv,train_cv_family_pinball,train_cv_row_coverage,holdout_row_pinball,holdout_family_pinball,holdout_row_coverage,holdout_family_coverage,family_boot_pinball_low,family_boot_pinball_high,family_boot_coverage_low,family_boot_coverage_high,coverage_guarantee,long_horizon_forecast_validated,selected_by_train_cv
constant,0.9,74,14,67,6,,2.1036960477762454,0.7162162162162162,1.9838123821882405,1.7387871273302515,0.835820895522388,0.9032738095238094,1.2534105224661867,2.1113505590737462,0.7574404761904763,1.0,False,False,False
N_only,0.9,74,14,67,6,0.01,1.8034258967313168,0.6891891891891891,1.0053726779292698,1.072965715032991,0.8805970149253731,0.9300595238095238,0.6734387961108282,1.4274396565422627,0.8258928571428571,1.0,False,False,False
N_time,0.9,74,14,67,6,0.01,1.7132834216273902,0.6891891891891891,1.1445285171827007,1.3215034528726362,0.9701492537313433,0.9791666666666666,0.94304219669518,1.7142758097911635,0.9375,1.0,False,False,True
