stratum,holdout_families,delta_family_balanced_rmse_time_minus_N,family_bootstrap_ci_low,family_bootstrap_ci_high,interpretation
license_only_pretrained,7,-0.03178124619994893,-0.9378181185402759,1.030751410700734,descriptive_model_comparison_not_independent_long_horizon_test
strict_posttrained,6,3.717140125126692,-1.112685904660413,7.535007949608778,descriptive_model_comparison_not_independent_long_horizon_test
strict_pretrained,4,-0.04841477942959216,-0.6104263756553046,1.0736797987134281,descriptive_model_comparison_not_independent_long_horizon_test
