budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set,status,reason
1e+21,4096,power,0.4,2.3447333617222665,47.935867775383215,1.0,2.3912826296723293,6.743809703762902e+20,9.207548182204282e+19,2.3354354780166704e+20,1e+21,0.0,0.6743809703762902,0.09207548182204281,0.23354354780166703,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,4096,logarithmic,0.4,1.9596365993379024,66.93409685767433,1.0,2.3704895208461263,7.869990356755602e+20,1.0745160167090315e+20,1.0554936265353662e+20,1e+21,0.0,0.7869990356755603,0.10745160167090316,0.10554936265353662,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,8192,exponential,0.4,2.107278237997995,49.94932574908503,1.0,2.3962693707164413,6.315427629223188e+20,1.7245327712865452e+20,1.9600395994902692e+20,1.0000000000000003e+21,0.0,0.6315427629223186,0.1724532771286545,0.19600395994902686,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,8192,power,0.4,2.19869637587282,46.15415347489779,1.0,2.4016139326604042,6.088738198604142e+20,1.6626314440988377e+20,2.2486303572970203e+20,1e+21,0.0,0.6088738198604142,0.16626314440988377,0.22486303572970204,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,8192,logarithmic,0.4,1.8494490906936523,63.67907111366468,1.0,2.3814585305679206,7.066272010043015e+20,1.9295633435424126e+20,1.0041646464145744e+20,1e+21,0.0,0.7066272010043014,0.19295633435424125,0.10041646464145744,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,32768,exponential,0.4,1.606652873089988,41.505256737562235,1.0,2.444891684708424,4.001072399144517e+20,4.3702380125055844e+20,1.6286895883498983e+20,1e+21,0.0,0.4001072399144517,0.43702380125055845,0.16286895883498984,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,32768,power,0.4,1.66665645921883,38.76789650547958,1.0,2.4495876031303077,3.8767659072710784e+20,4.234462174981958e+20,1.888771917746965e+20,1.0000000000000003e+21,0.0,0.38767659072710775,0.42344621749819567,0.18887719177469645,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,32768,logarithmic,0.4,1.4401879185845052,50.873866055759336,1.0,2.4320990738323216,4.3960756359114575e+20,4.801686881251555e+20,8.022374828369892e+19,1e+21,0.0,0.4396075635911457,0.48016868812515545,0.08022374828369892,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,131072,exponential,0.4,0.9786255058185711,28.20883250775796,1.0,2.5501019686177004,1.6563529788873592e+20,7.236716588290799e+20,1.1069304328218445e+20,1.0000000000000003e+21,0.0,0.16563529788873588,0.7236716588290798,0.11069304328218443,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+21,131072,power,0.4,1.0049789263213542,26.847948940692117,1.0,2.553682398572567,1.618897374020838e+20,7.073070553588644e+20,1.3080320723905198e+20,1.0000000000000003e+21,0.0,0.1618897374020838,0.7073070553588643,0.13080320723905195,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
