budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
1e+19,2048,exponential,0.4,0.1289818120590098,9.999999999999998,0.557443682606086,3.306351980447957,7.738908723540586e+18,5.2830950219370406e+17,1.732781774265709e+18,1e+19,0.0,0.7738908723540586,0.052830950219370405,0.17327817742657092,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1.2915496650148827e+19,2048,exponential,0.4,0.16129693950361082,10.0,0.6008857636883999,3.2210541249099007,9.677816370216649e+18,6.6067226420679e+17,2.577008015725387e+18,1.2915496650148825e+19,1.1102230246251565e-16,0.7493181743115649,0.05115345403300284,0.19952837165543238,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1.6681005372000557e+19,2048,exponential,0.4,0.20249965586045018,10.0,0.6453357059984984,3.140924090883773,1.2149979351627012e+19,8.29438590404404e+17,3.701587429969142e+18,1.6681005372000557e+19,0.0,0.7283721263000745,0.04972353715541842,0.22190433654450703,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
2.1544346900318777e+19,2048,exponential,0.4,0.2549788647951171,10.0,0.6906160582799067,3.0660183679854565,1.529873188770703e+19,1.0443934302007997e+18,5.20122158241095e+18,2.1544346900318777e+19,0.0,0.710104230984169,0.048476448835185926,0.2414193201806452,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
2.7825594022071144e+19,2048,exponential,0.4,0.3217485023655152,10.0,0.7365762072070206,2.9962534861193477,1.9304910141930914e+19,1.3178818656891505e+18,7.202802014451076e+18,2.782559402207114e+19,1.1102230246251565e-16,0.693782498465921,0.047362218561940214,0.25885528297213867,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
3.5938136638046405e+19,2048,exponential,0.4,0.4066059308119711,10.0,0.7830894514248345,2.931448449364396,2.4396355848718266e+19,1.6654578926058337e+18,9.876322896722297e+18,3.5938136638046405e+19,0.0,0.6788430934644154,0.0463423551805041,0.2748145513550803,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
4.641588833612792e+19,2048,exponential,0.4,0.5143289584903897,10.0,0.8300497022048073,2.8713589824620698,3.0859737509423383e+19,2.1066914139766364e+18,1.3449459412727898e+19,4.641588833612792e+19,0.0,0.6648528901557967,0.04538729063463572,0.28975981920956745,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
5.994842503189421e+19,2048,exponential,0.4,0.6509204447281559,10.0,0.8773682573643351,2.8157038476813407,3.905522668368935e+19,2.666170141606527e+18,1.8227028206598334e+19,5.994842503189421e+19,0.0,0.6514804461153215,0.04447439845480596,0.3040451554298725,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
7.742636826811277e+19,2048,exponential,0.4,0.8239116953253308,10.0,0.9249707526893439,2.7641842546538107,4.9434701719519855e+19,3.3747423040525553e+18,2.4616924244540375e+19,7.742636826811277e+19,0.0,0.6384737244595651,0.043586472923106315,0.3179398026173287,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1e+20,2048,exponential,0.4,0.99016817225635,10.617104317756908,0.9604683613649858,2.7163549448740065,6.307631266181016e+19,4.306009611046241e+18,3.261767772714361e+19,1e+20,0.0,0.6307631266181015,0.04306009611046241,0.32617677727143607,interior,False,False,False,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:0|Dmax:0
