budget_FLOPs,quantile,N_star_B,D_star_B,Q_star_B,predicted_loss
1e+19,0.025,0.12753549632004868,9.999999999999998,0.5508948092336523,3.295081914804726
1e+19,0.5,0.12879487921027405,10.0,0.5581465619586908,3.3075272805939577
1e+19,0.975,0.13068611982471065,10.000000000000002,0.5628061823720879,3.3175028990390607
1e+21,0.025,2.3222927589907663,53.1427826165272,1.0,2.372238741107727
1e+21,0.5,2.3230437460269497,53.152367620030965,1.0,2.379716749632217
1e+21,0.975,2.323573158830381,53.165970151562625,1.0,2.3890719724127125
1e+22,0.025,5.64000831712992,249.32566063173564,1.0,2.159737646220203
1e+22,0.5,5.64327371947455,249.40651597453285,1.0,2.167211591925383
1e+22,0.975,5.64530235029868,249.53677571803132,1.0,2.1765646605180318
