budget_FLOPs,quality_cost,continuous_Q_star_B,best_observed_Q_B,continuous_loss,observed_grid_loss,snap_loss_penalty
1e+19,exponential,0.5574436692654018,0.6,3.306351980447957,3.3115892721992393,0.005237291751282402
1e+19,power,0.4565932381535516,0.4,3.3383194020697835,3.3455930393524493,0.007273637282665835
1e+19,logarithmic,0.4,0.4,3.3455930393524493,3.3455930393524493,0.0
1e+21,exponential,1.0,1.0,2.3801550524200574,2.3801550524200574,0.0
1e+21,power,1.0,1.0,2.3857362077014104,2.3857362077014104,0.0
1e+21,logarithmic,1.0,1.0,2.364590707347113,2.364590707347113,0.0
1e+22,exponential,1.0,1.0,2.1676452416811185,2.1676452416811185,0.0
1e+22,power,1.0,1.0,2.169368461947598,2.169368461947598,0.0
1e+22,logarithmic,1.0,1.0,2.163115441456645,2.163115441456645,0.0
1e+24,exponential,1.0,1.0,2.110016773935405,2.110016773935405,0.0
1e+24,power,1.0,1.0,2.110016773935405,2.110016773935405,0.0
1e+24,logarithmic,1.0,1.0,2.110016773935405,2.110016773935405,0.0
