budget_FLOPs,quality_cost,N_interior,D_interior,Q_interior,N_gain_per_C21,D_gain_per_C21,Q_gain_per_C21,interior_relative_gap
1e+19,exponential,True,False,True,34.32507816268986,21.417208929219,34.3250802093721,5.962643723164009e-08
1e+19,power,True,False,True,31.282724300193,22.220163392546752,31.2827258585383,4.981488208410249e-08
1e+19,logarithmic,True,False,False,28.17275071822731,22.683864349456304,14.9552768303437,
1e+21,exponential,True,True,False,0.11417287506221181,0.11417288051342805,0.19110725294887673,4.774528082131006e-08
1e+21,power,True,True,False,0.11685330761799137,0.11685330516130447,0.2533710029045423,2.102368298902769e-08
1e+21,logarithmic,True,True,False,0.10623281712014576,0.1062328177399547,1.9211336511268642,5.834439427186683e-09
1e+22,exponential,True,True,False,0.007407224413139507,0.007407223974615098,0.027880868921343872,5.9202257827580646e-08
1e+22,power,True,True,False,0.007499947445650967,0.00749994690386528,0.03540934421206378,7.223859785952708e-08
1e+22,logarithmic,True,True,False,0.0071542073378730985,0.007154206896100927,0.3246161013063961,6.17499816446361e-08
1e+24,exponential,False,False,False,0.002250157727675423,0.002909636365244281,0.02028994189527333,
1e+24,power,False,False,False,0.002250157727675423,0.0028758220422298213,0.024556640336543454,
1e+24,logarithmic,False,False,False,0.002250157727675423,0.002996886404261921,0.270123043701978,
