budget_FLOPs,quality_cost,optimized_loss,global_search_loss,optimized_minus_global,global_search_success,global_search_evaluations
1e+19,exponential,3.306351980447957,3.3063519804564008,-8.44391223608909e-12,True,1911
1e+19,power,3.3383194020697835,3.338319402086365,-1.6581402917381638e-11,True,1767
1e+19,logarithmic,3.3455930393524493,3.3455930393676105,-1.5161205624281138e-11,True,2679
1e+21,exponential,2.3801550524200574,2.380155052423607,-3.5496050543315505e-12,True,1275
1e+21,power,2.3857362077014104,2.385736207706069,-4.658495811327157e-12,True,1299
1e+21,logarithmic,2.364590707347113,2.3645907073561436,-9.030554082301023e-12,True,1371
1e+22,exponential,2.1676452416811185,2.1676452417049514,-2.383293562502331e-11,True,1155
1e+22,power,2.169368461947598,2.1693684619529128,-5.314859663485549e-12,True,1251
1e+22,logarithmic,2.163115441456645,2.163115441460601,-3.955946681344358e-12,True,1179
1e+24,exponential,2.110016773935405,2.1100167739629123,-2.750732974732273e-11,True,1851
1e+24,power,2.110016773935405,2.1100167739629123,-2.750732974732273e-11,True,1851
1e+24,logarithmic,2.110016773935405,2.1100167739629123,-2.750732974732273e-11,True,1851
