budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set,fixed_Q0_loss,loss_gain_vs_fixed_Q0
1e+19,2048,exponential,0.4,0.1289818155995269,10.000000000000002,0.5574436692654018,3.306351980447957,7.738908935971616e+18,5.283095166956623e+17,1.7327815473327222e+18,1e+19,0.0,0.7738908935971616,0.05283095166956623,0.1732781547332722,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,3.3455930393524493,0.039241058904492476
1e+19,2048,power,0.4,0.14208154946516233,10.000000000000002,0.4565932381535516,3.3383194020697835,8.524892967909742e+18,5.819660266093051e+17,8.93141005480954e+17,1e+19,0.0,0.8524892967909741,0.05819660266093051,0.0893141005480954,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,3.3455930393524493,0.007273637282665835
1e+19,2048,logarithmic,0.4,0.15601597603594608,10.0,0.4,3.3455930393524493,9.360958562156765e+18,6.390414378432352e+17,0.0,1e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0,3.3455930393524493,0.0
1e+21,2048,exponential,0.4,2.323076063006898,53.151782422811806,1.0,2.3801550524200574,7.408538007155093e+20,5.0575619462178775e+19,2.0857057982231193e+20,1e+21,0.0,0.7408538007155093,0.05057561946217878,0.20857057982231192,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.510088326027283,0.12993327360722562
1e+21,2048,power,0.4,2.4289298348610537,48.922557313516734,1.0,2.3857362077014104,7.129767543390038e+20,4.867254642954266e+19,2.383506992314535e+20,1e+21,0.0,0.7129767543390038,0.04867254642954266,0.23835069923145352,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.510088326027283,0.12435211832587267
1e+21,2048,logarithmic,0.4,2.022804446756289,68.76499802030703,1.0,2.364590707347113,8.34588862659987e+20,5.697459969092178e+19,1.0843653764909113e+20,9.999999999999999e+20,1.1102230246251565e-16,0.8345888626599871,0.056974599690921786,0.10843653764909114,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.510088326027283,0.14549761868016997
1e+22,2048,exponential,0.4,5.643267792803391,249.40675227083798,1.0,2.1676452416811185,8.444814554386284e+21,5.764993402461036e+20,9.78686105367612e+20,9.999999999999998e+21,2.220446049250313e-16,0.8444814554386285,0.05764993402461037,0.09786861053676121,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.2708415785110416,0.10319633682992313
1e+22,2048,power,0.4,5.779693185379062,238.563723622684,1.0,2.169368461947598,8.272950766204085e+21,5.6476677230619886e+20,1.1622824614897163e+21,1e+22,0.0,0.8272950766204085,0.05647667723061989,0.11622824614897162,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.2708415785110416,0.10147311656344371
1e+22,2048,logarithmic,0.4,5.278951096514479,282.3831355564296,1.0,2.163115441456645,8.944120578496866e+21,6.105852981587193e+20,4.4529412334441687e+20,1.0000000000000002e+22,0.0,0.8944120578496865,0.06105852981587192,0.04452941233444168,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,2.2708415785110416,0.10772613705439671
1e+24,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9758225639349295,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,2.2088112310716292,0.09879445713622426
1e+24,2048,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.4610786959999998e+21,2.446171778374456e+22,0.9755382822162555,0.8801836048757692,0.06008720075951919,0.059729194364711545,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,2.2088112310716292,0.09879445713622426
1e+24,2048,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,4.7290568634344427e+20,2.3473544774088005e+22,0.976526455225912,0.9172369638912585,0.06261671006830993,0.020146326040431515,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,2.2088112310716292,0.09879445713622426
