domain,q_original,q_weighted,q_penalized,delta_weighted,delta_penalized,pct_change_weighted,pct_change_penalized
arxiv,0.7819042123798114,0.7844042335583432,0.7124001880457196,0.002500021178531764,-0.06950402433409186,0.31973496739743534,-8.8890714787875
book,0.5693637447993978,0.5697973022837499,0.515097013269332,0.0004335574843521428,-0.05426673153006578,0.07614771546525093,-9.531118204441594
c4,0.6849250993317438,0.6913182629558543,0.6051471760491147,0.006393163624110465,-0.07977792328262912,0.9334106211537639,-11.64768576308059
commoncrawl,0.7067081635779496,0.711401907494711,0.6470871430015899,0.0046937439167613615,-0.05962102057635976,0.6641700434020306,-8.436441468923768
github,0.5768577193890864,0.5778993370473093,0.5367285809021861,0.0010416176582229708,-0.04012913848690025,0.18056751660116163,-6.956505415130526
stackexchange,0.7145557992598962,0.7164366927805821,0.6756328740625366,0.001880893520685878,-0.038922925197359626,0.26322556231913874,-5.447149856970468
wikipedia,0.6215107447610511,0.6283258044373199,0.5645094193909894,0.006815059676268831,-0.05700132537006164,1.0965312721808183,-9.171414307885641
