lam,dist_to_centroid,max_share,n_active_gt1pct,pred_macro_std,pred_macro_original,nearest_train_dist,nearest_train_actual_loss
0.0,40.785493064582965,0.36329491552333626,5,-10.509394181818362,1.9346178975229682,33.894928223578965,5.122750318967379
0.03,1.9269727422105136,0.14486793857237085,15,-0.9221801654290019,5.045432086067581,7.8471135600333355,4.982067768390362
0.1,0.5216410905457495,0.13604952185486824,15,-0.7687245112483156,5.095224656205435,7.817980773530937,4.982067768390362
0.3,0.17173435336210477,0.1462409949016078,15,-0.7324635495476717,5.106990442799518,7.848009860908272,4.982067768390362
1.0,0.05137557011117216,0.14980174318579118,15,-0.720079880038314,5.111008637736034,7.862027059995995,4.982067768390362
3.0,0.017113930904524097,0.15081901833479394,15,-0.7165606296837436,5.112150547566912,7.866371559003655,4.982067768390362
10.0,0.005133071281880774,0.1511750629309978,15,-0.7153305258503904,5.112549685882968,7.867928220232565,4.982067768390362
30.0,0.001710921378973772,0.15127679075573233,15,-0.7149792137388224,5.11266367798739,7.868376424345338,4.982067768390362
100.0,0.0005132627782180055,0.15131239574245287,15,-0.7148562691193839,5.112703570480235,7.868533659287983,4.982067768390362
1000.0,5.13271129630286e-05,0.15132612883726193,15,-0.7148088501952445,5.112718956750091,7.86859435577424,4.982067768390362
inf,0.0,0.1513276542875281,15,-0.7148035813546376,5.112720666358752,7.868601112263304,4.982067768390362
