scale,n,D_tokens,observed,pred_rmse,spearman_r,spearman_p,mean_actual_loss,mean_pred_loss
train_1m,512,1000000.0,True,0.3273766956071643,0.029648941941502898,0.503249017741691,5.344656776171178,5.368860990202855
test_1m,256,1000000.0,False,0.29535530548779887,0.009293459601739527,0.8823657647349085,5.282281966306842,5.371290333782719
test_60m,256,60000000.0,True,0.28416555642813657,0.039524204623483626,0.528996548807183,3.822911177618572,3.644084762717083
test_1B,64,1000000000.0,True,0.5610664875891828,-0.1936355311355311,0.12525041078425542,2.225570281856971,2.7840304215985046
est_10b,63,10000000000.0,False,0.4559546371163301,-0.0883736559139785,0.4909823964146241,1.7974589743589742,2.2428817419514893
est_70b,63,70000000000.0,False,0.4627953709419986,-0.09240591397849462,0.47133709295722015,1.4145459096459092,1.865212977182224
