scale,observed,baseline_loss,pred_rmse,spearman_r,spearman_p
train_1m,True,5.4404257319641625,0.22038714105808563,0.7974463126995571,5.633223597428899e-114
test_1m,False,5.4404257319641625,0.2779244118194531,0.6623719672693978,1.047179979990944e-33
test_60m,True,3.452363859128111,0.43205808353909997,0.6248297665369649,3.9840664322727215e-29
test_1B,True,2.525771710785146,0.17599062236321072,0.47765567765567757,6.5726429701607e-05
est_10b,False,1.9557552180511535,0.3943677434333415,-0.5890456989247312,3.8067964928205984e-07
est_70b,False,1.5755832233542202,0.4069699296155511,-0.6634024577572966,3.1235035756292927e-09
